Nome.da.instituicao;Classe;Nome.cientifico;Numero.de.individuos;Categoria.de.Ameaca;Localidade;Municipio;Latitude;Longitude
Sem Informações;Mammalia;Phyllostomidae;1;Sem Informações;Apa Do Banhado Grande;Viamao;-29.974778;-50.965017
Sem Informações;Mammalia;Vespertilionidae;1;Sem Informações;Apa Do Banhado Grande;Viamao;-29.974778;-50.965017
Sem Informações;Mammalia;Phyllostomidae;2;Sem Informações;Apa Do Banhado Grande;Viamao;-29.974778;-50.965017
Sem Informações;Mammalia;Muridae;27;Sem Informações;Apa Do Banhado Grande;Viamao;-30.011931;-50.965133
Sem Informações;Mammalia;Muridae;10;Sem Informações;Apa Do Banhado Grande;Viamao;-30.011931;-50.965133
Sem Informações;Mammalia;Muridae;61;Sem Informações;Apa Do Banhado Grande;Viamao;-30.011931;-50.965133
Sem Informações;Mammalia;Muridae;21;Sem Informações;Apa Do Banhado Grande;Viamao;-30.011931;-50.965133
Sem Informações;Mammalia;Muridae;1;Sem Informações;Apa Do Banhado Grande;Viamao;-29.974778;-50.965017
Sem Informações;Mammalia;Muridae;5;Sem Informações;Apa Do Banhado Grande;Viamao;-29.974778;-50.965017
Sem Informações;Mammalia;Muridae;1;Sem Informações;Apa Do Banhado Grande;Viamao;-29.974778;-50.965017
Sem Informações;Mammalia;Phyllostomidae;8;Sem Informações;Apa Do Banhado Grande;Viamao;-29.974778;-50.965017
Sem Informações;Mammalia;Muridae;2;Sem Informações;Apa Do Banhado Grande;Viamao;-30.011931;-50.965133
Sem Informações;Mammalia;Muridae;1;Sem Informações;Apa Do Banhado Grande;Viamao;-29.974778;-50.965017
Sem Informações;Mammalia;Muridae;3;Sem Informações;Apa Do Banhado Grande;Viamao;-30.011931;-50.965133
Sem Informações;Mammalia;Muridae;1;Sem Informações;Apa Do Banhado Grande;Viamao;-30.011931;-50.965133
Sem Informações;Mammalia;Muridae;2;Sem Informações;Apa Do Banhado Grande;Viamao;-30.011931;-50.965133
Sem Informações;Mammalia;Muridae;1;Sem Informações;Apa Do Banhado Grande;Viamao;-29.974778;-50.965017
Sem Informações;Insecta;Blepyrus clavicornis;30;Sem Informações;Área Agrícola;Bento Goncalves;-29.111108;-51.438889
Sem Informações;Insecta;Coccidoxenoides perminutus;30;Sem Informações;Área Agrícola;Bento Goncalves;-29.111111;-51.438889
Sem Informações;Insecta;Anagyrus;30;Sem Informações;Área Agrícola;Bento Goncalves;-29.111111;-51.438889
Sem Informações;Insecta;Acerophagus;30;Sem Informações;Área Agrícola;Bento Goncalves;-29.111111;-51.438889
Sem Informações;Insecta;Pseudococcus viburni;500;Sem Informações;Área Agrícola;Bento Goncalves;-29.111111;-51.438889
Sem Informações;Insecta;Planococcus ficus;500;Sem Informações;Área Agrícola;Bento Goncalves;-29.111111;-51.438889
Sem Informações;Insecta;Dysmicoccus sylvarum;50;Sem Informações;Área Agrícola;Bento Goncalves;-29.111111;-51.438889
Sem Informações;Insecta;Dysmicoccus brevipes;50;Sem Informações;Área Agrícola;Bento Goncalves;-29.111111;-51.438889
Sem Informações;Insecta;Anisococcus parasitus;200;Sem Informações;Área Agrícola;Bento Goncalves;-29.111111;-51.438889
Sem Informações;Insecta;Acerophagus;30;Sem Informações;Área Agrícola;Bento Goncalves;-29.111106;-51.438889
