UA     riqueza abundancia        pH         Ca       Mg      H_Al      CTC Saturacao       MO Densidade Ambiente
1  10.581026  109.64319  5.358263 811.763951 1.904743  5.984109 19.42787  74.38393 4.745612 1.2397237  Área_14
2  11.120110  109.63226  5.393077 813.294094 1.909738  6.114889 16.62551  69.89221 5.093574 1.3923659  Área_14
3  11.048717  108.11244  5.434614 811.069797 1.911383  6.374695 16.60720  72.11638 5.388085 1.2377007  Área_14
4  10.648620  114.63131  5.372934 812.043788 1.903646  6.157212 16.25927  72.98953 5.082222 1.3672174  Área_14
5  10.716914  106.80948  5.319428 812.846095 1.919741  6.101426 16.31870  72.30487 5.473932 1.4703940  Área_14
6  11.392828  111.29710  5.549622 813.228397 1.898620  5.978873 16.10551  72.52888 5.296550 1.3741434  Área_14
7  10.348560  112.41453  5.478538 809.817771 1.893689  6.388793 18.02123  70.70399 5.421289 1.2276085  Área_14
8  11.293887   97.60866  5.288144 809.852230 1.890569  6.083049 13.47587  69.69562 4.331398 1.0178548  Área_14
9  10.945288  103.33429  5.365772 809.133775 1.905238  6.248422 19.21523  73.33018 5.215027 1.1525881  Área_14
10 11.155101  123.31422  5.268186 813.198239 1.901411  6.213033 17.37757  70.78513 5.227798 1.1311580  Área_14
11 11.449616   98.52963  5.632155 811.179504 1.898582  6.991969 19.77845  70.53535 5.181652 1.3671810  Área_14
12 10.529041  128.15210  5.392812 809.119105 1.909492  6.614047 16.15812  75.69326 4.720099 1.2022213  Área_14
13 10.041652   97.68785  5.443159 810.911727 1.889122  6.622046 18.47983  71.15304 5.026952 1.4196849  Área_14
14 11.480226  102.32711  5.393462 810.367324 1.887332  6.376065 14.20816  71.20446 4.510683 1.2823668  Área_14
15 11.474251   97.70832  5.376887 811.011190 1.899445  5.883324 14.78254  72.48955 4.881451 1.4184656  Área_14
16 11.040798  100.54358  5.374671 809.947084 1.895252  6.238224 13.58273  72.92744 5.085935 1.3970926  Área_14
17 10.915024  117.25004  5.471100 810.736980 1.898468  6.695570 14.71785  71.37188 4.775300 1.4193976  Área_14
18 10.521273  111.04367  5.320191 809.534380 1.906020  6.352681 17.09628  72.59139 5.319159 1.1966660  Área_14
19 11.203803  120.62857  5.235977 810.303224 1.897783  6.006141 13.14155  74.40547 4.810955 1.2338945  Área_14
20 11.474220   91.29547  5.326733 812.495017 1.898830  6.439556 17.36549  72.51470 4.705913 0.9998115  Área_14
21 10.704033   62.64081 15.483947  22.538336 3.626788 13.871862 13.32696  79.82162 3.513152 1.2018838  Área_2 
22 10.311629   63.38417 15.617447  26.190293 3.360628 15.139341 13.65000  80.97166 4.031070 1.1740613  Área_2 
23 11.697139   55.62753 15.592929  40.584550 3.347539 16.950009 13.12865  80.06319 3.873708 1.1949811  Área_2 
24 11.176394   78.84652 15.579744  42.279217 4.132953 16.531284 13.41912  80.10131 3.714126 1.2369505  Área_2 
25 11.600405   76.42548 15.541631  38.722656 3.333292 13.939367 13.86202  84.32332 3.703134 1.1989783  Área_2 
26 11.126375  108.51781 15.518043 -21.239560 4.018058 14.606016 12.77948  82.35092 3.670643 1.1062452  Área_2 
27 11.137800  161.31482 15.609841  11.862802 4.214973 15.722984 13.90314  79.52191 3.788166 1.2133807  Área_2 
28 10.655479   57.41224 15.536905  12.210554 2.942622 15.760412 13.12879  74.94306 3.996838 1.1873349  Área_2 
29 11.671888  118.40400 15.467949  25.041982 3.586071 15.814228 13.11799  78.03452 4.012330 1.1650582  Área_2 
30 10.645111   95.68390 15.621161 -20.537017 2.947934 15.585866 12.96395  81.37451 4.168762 1.1994850  Área_2 
31 10.816658  103.90296 15.514203   6.458627 3.831559 14.968510 13.50082  82.21383 3.762590 1.2518572  Área_2 
32 10.564143   75.09435 15.621536  12.621384 4.654063 15.882486 13.02378  81.38859 3.606074 1.2067318  Área_2 
33 11.673883  148.92738 15.649490  32.043901 1.819213 16.348131 13.26227  81.00764 3.567156 1.1803113  Área_2 
34 10.840773   97.34833 15.514516  18.624476 4.767112 15.878727 12.63446  76.58417 3.920942 1.1782619  Área_2 
35 10.887251  151.19902 15.572020 -38.280974 4.550405 15.070057 13.71322  80.13685 3.778218 1.2023694  Área_2 
36 12.043438  137.54881 15.725305  18.477128 4.306688 13.947782 13.77563  78.47174 3.946716 1.2380175  Área_2 
37 11.970707  114.98185 15.597541 -17.016631 4.659030 16.259545 13.72636  76.26083 3.879998 1.2625467  Área_2 
38 11.481654  198.58694 15.558953 -25.469322 4.811076 15.204307 13.60859  83.24081 3.531300 1.1878610  Área_2 
39 10.142916  144.79036 15.570821  11.016979 3.783233 14.594508 14.29866  73.92859 3.826768 1.1930578  Área_2 
40 10.221941  114.68753 15.602186  -1.916520 4.134922 16.074097 13.22404  76.65069 4.260054 1.1092488  Área_2 
41 12.173591  105.88930 16.543686  15.171957 3.578128  3.899463 26.17937  95.37934 7.027935 0.7667448     Mata
